City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinop,41.7711,34.8709,1.24,61,46,5.02,TR,1701066063
1,grytviken,-54.2811,-36.5092,0.99,88,61,5.85,GS,1701066619
2,palmer,42.1584,-72.3287,11.59,82,100,2.06,US,1701066619
3,ancud,-41.8697,-73.8203,9.29,85,100,1.59,CL,1701066619
4,stanley,54.868,-1.6985,3.62,96,40,2.57,GB,1701066619
5,carlsbad,33.1581,-117.3506,17.68,37,0,2.24,US,1701066619
6,tiksi,71.6872,128.8694,-21.24,100,93,2.86,RU,1701066620
7,margaret river,-33.95,115.0667,21.38,65,88,5.99,AU,1701066620
8,ishigaki,24.3448,124.1572,26.07,65,75,6.69,JP,1701066620
9,ha'il,27.5219,41.6907,19.01,52,0,1.03,SA,1701066388
10,port-aux-francais,-49.35,70.2167,4.19,79,96,7.67,TF,1701066620
11,waitangi,-43.9535,-176.5597,13.23,91,100,0.45,NZ,1701066620
12,oltinko'l,40.8011,72.1634,17.03,20,77,0.68,UZ,1701066620
13,nova sintra,14.8667,-24.7167,22.43,63,53,5.19,CV,1701066620
14,iqaluit,63.7506,-68.5145,-7.15,73,75,5.66,CA,1701066380
15,brookings,44.3114,-96.7984,-9.95,84,0,3.09,US,1701066621
16,carroll,39.5501,-77.0164,4.24,92,0,2.57,US,1701066621
17,bethel,41.3712,-73.414,12.33,84,100,6.17,US,1701066621
18,edinburgh of the seven seas,-37.0676,-12.3116,13.1,68,17,9.77,SH,1701066621
19,paraparaumu,-40.9167,175.0167,15.7,84,100,4.8,NZ,1701066621
20,ushuaia,-54.8,-68.3,4.81,75,0,2.57,AR,1701066621
21,zaragoza,41.6561,-0.8773,12.49,76,0,1.03,ES,1701066200
22,blackmans bay,-43.0167,147.3167,13.07,72,61,0.45,AU,1701066622
23,albany,42.6001,-73.9662,4.8,94,100,0.89,US,1701066519
24,sumbawa besar,-8.5,117.4333,31.11,57,100,3.29,ID,1701066622
25,bredasdorp,-34.5322,20.0403,23.74,38,6,1.26,ZA,1701066622
26,boysun,38.2061,67.1986,17.68,17,100,0.44,UZ,1701066622
27,broome,42.2506,-75.833,4.82,89,75,2.06,US,1701066622
28,invercargill,-46.4,168.35,12.79,92,100,0.89,NZ,1701066622
29,kodiak,57.79,-152.4072,3.73,100,100,0.0,US,1701066622
30,west island,-12.1568,96.8225,28.99,61,100,5.66,CC,1701066623
31,nanyang,32.9947,112.5328,18.34,24,5,2.24,CN,1701066623
32,isafjordur,66.0755,-23.124,4.78,89,100,5.02,IS,1701066623
33,lebedyn,50.5852,34.4849,-3.18,94,100,9.62,UA,1701066623
34,sucre,-19.0333,-65.2627,12.1,88,100,2.22,BO,1701066623
35,port alfred,-33.5906,26.891,22.88,86,4,1.79,ZA,1701066623
36,wailua homesteads,22.0669,-159.378,23.24,91,100,3.6,US,1701066623
37,aldama,22.9167,-98.0667,21.39,80,99,5.42,MX,1701066623
38,bela,25.9333,81.9833,24.4,32,100,4.08,IN,1701066624
39,adamstown,-25.066,-130.1015,21.83,85,100,7.59,PN,1701066624
40,tazovsky,67.4667,78.7,-17.45,97,93,4.01,RU,1701066521
41,moultonborough,43.7548,-71.3967,4.9,86,100,2.24,US,1701066624
42,neiafu,-18.65,-173.9833,28.38,78,20,1.03,TO,1701066624
43,mugia,43.1041,-9.2179,14.95,93,100,3.29,ES,1701066416
44,hermanus,-34.4187,19.2345,19.31,66,18,1.01,ZA,1701066508
45,port augusta,-32.5,137.7667,31.7,24,92,5.21,AU,1701066624
46,port mathurin,-19.6833,63.4167,24.95,68,0,6.46,MU,1701066625
47,vadso,70.0744,29.7487,-8.91,86,20,1.54,NO,1701066435
48,puerto ayora,-0.7393,-90.3518,24.75,92,86,1.79,EC,1701066625
49,island harbour,50.724,-1.2758,10.52,93,100,2.24,GB,1701066625
50,kavaratti,10.5669,72.642,28.74,70,43,2.72,IN,1701066625
51,jamestown,42.097,-79.2353,4.77,96,100,6.71,US,1701066625
52,hamilton,39.1834,-84.5333,1.24,77,100,8.23,US,1701066625
53,utrik,11.2278,169.8474,27.64,78,100,9.27,MH,1701066625
54,enewetak,11.3474,162.3373,27.99,81,10,9.96,MH,1701066626
55,tolanaro,-25.0319,46.9987,30.04,66,20,6.17,MG,1701066416
56,lihue,21.9789,-159.3672,23.58,89,100,3.6,US,1701066626
57,saint-francois,46.4154,3.9054,1.47,94,0,3.09,FR,1701066626
58,millau,44.0833,2.9167,1.07,48,94,0.97,FR,1701066605
59,revda,56.801,59.9303,0.07,75,83,4.29,RU,1701066601
60,lompoc,34.6391,-120.4579,13.29,69,0,3.09,US,1701066626
61,saint-philippe,-21.3585,55.7679,27.77,69,8,3.95,RE,1701066626
62,winnipeg,49.8844,-97.147,-13.01,73,17,2.06,CA,1701066627
63,yellowknife,62.456,-114.3525,-12.71,92,100,0.0,CA,1701066627
