City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,20.07,78,45,3.32,AU,1732088697
1,tiksi,71.6872,128.8694,-29.48,98,51,2.23,RU,1732088697
2,port-aux-francais,-49.35,70.2167,4.34,78,64,14.51,TF,1732088697
3,waitangi,-43.9535,-176.5597,14.34,91,73,4.02,NZ,1732088697
4,grytviken,-54.2811,-36.5092,3.57,79,24,3.91,GS,1732088697
5,irymple,-34.25,142.1667,31.16,20,51,0.89,AU,1732088698
6,whitehorse,60.7161,-135.0538,-19.57,71,100,3.6,CA,1732088698
7,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,1.54,US,1732088698
8,rahachow,53.0934,30.0495,6.49,57,100,8.96,BY,1732088698
9,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,50,75,1.0,RU,1732088698
10,mizque,-17.941,-65.3402,14.93,92,100,1.52,BO,1732088698
11,palikir - national government center,6.9248,158.1611,26.41,89,100,0.0,FM,1732088698
12,aasiaat,68.7098,-52.8699,-6.07,82,100,5.23,GL,1732088698
13,wailua homesteads,22.0669,-159.378,23.24,95,100,5.66,US,1732088698
14,bethel,41.3712,-73.414,8.46,70,75,0.45,US,1732088698
15,adamstown,-25.066,-130.1015,22.82,88,100,8.75,PN,1732088699
16,carnarvon,-24.8667,113.6333,23.4,68,0,6.9,AU,1732088699
17,stanley,54.868,-1.6985,-0.99,76,20,4.63,GB,1732088699
18,guelendeng,10.9176,15.5501,27.65,17,97,4.99,TD,1732088699
19,jinchang,38.4953,102.1739,7.32,24,0,2.37,CN,1732088699
20,hithadhoo,-0.6,73.0833,28.25,72,59,5.2,MV,1732088699
21,talara,-4.5772,-81.2719,17.99,83,87,5.45,PE,1732088699
22,tolanaro,-25.0319,46.9987,29.04,61,40,10.8,MG,1732088700
23,santiago de cao,-7.9589,-79.2392,17.07,82,53,1.03,PE,1732088700
24,longyearbyen,78.2186,15.6401,-13.09,61,20,3.6,SJ,1732088700
25,ushuaia,-54.8,-68.3,10.81,37,20,3.6,AR,1732088700
26,bilibino,68.0546,166.4372,-25.14,100,99,1.52,RU,1732088700
27,lazaro cardenas,17.9583,-102.2,25.05,85,87,2.32,MX,1732088700
28,forster,-32.1667,152.5167,21.32,67,2,4.1,AU,1732088701
29,albany,42.6001,-73.9662,6.23,77,99,0.89,US,1732088701
